Date,FTSE Developed AWD (benchmark),RAISE,RAISE + Mom Leaders,RAISE + Low Vol Leaders
2001-04-30,0.07647021084789607,0.07202102649834985,0.05981236584211169,0.07021820761695707
2001-05-31,-0.01109461391530664,0.004674165850597101,0.00716928106477166,0.009539725272377009
2001-06-30,-0.031006616570969703,-0.03616039912579605,-0.041597735661506374,-0.031674767961264116
2001-07-31,-0.01701392382265665,-0.009997799413506647,-0.018347153053683396,-0.009972375470330253
2001-08-31,-0.04722307657519642,0.0020142490039283256,0.00402516083284743,0.009845923961872893
2001-09-30,-0.08907399220781231,-0.07778113213358562,-0.07087933820756909,-0.05348092910232227
2001-10-31,0.023073045281871263,0.006763296241086625,-0.002424533570251075,0.002028515396209629
2001-11-30,0.05985142987427827,-0.02410215186013076,-0.01218830840337315,-0.03755705101097784
2001-12-31,0.008145456722998157,0.027316852800342684,0.0008685857256580665,0.03455580039899875
2002-01-31,-0.029593507275509134,-0.01855970459007661,-0.012539812031280517,-0.02036031910696756
2002-02-28,-0.010449071624218598,0.024188027061467166,0.016712803483371896,0.031694536331436485
2002-03-31,0.04433218460739807,0.05669488540374257,0.05177361740273878,0.054900158632381846
2002-04-30,-0.03389292067986893,-0.013321389341067635,-0.0060970561230018205,-0.015211586845164216
2002-05-31,0.003833318827615839,0.015970127598610606,0.029726630445833457,0.019613178290677435
2002-06-30,-0.059575869979019536,-0.00946450100401719,-1.2775255513908235e-05,0.002550626461107486
2002-07-31,-0.08366608479402882,-0.10062674441272423,-0.08551587353376255,-0.09700556208692657
2002-08-31,0.0030959023732926028,0.010783265157373156,0.01576496633208513,0.01546162452919475
2002-09-30,-0.10989950321210018,-0.08730384944250891,-0.06961730600420701,-0.08862404363750864
2002-10-31,0.07421651837979315,0.009276619673727726,0.010505043023621985,0.00935094749844656
2002-11-30,0.055056079021312376,0.024472361699439116,0.02167927289843985,0.01409247092249899
2002-12-31,-0.04786698116107746,0.02407626724252676,0.03623844739465043,0.03174855490280293
2003-01-31,-0.030905516497100383,-0.0280617252390164,-0.026312807849139253,-0.029681460661847736
2003-02-28,-0.017527377638195674,-0.0063312666480970226,0.009651006409955754,-0.009496968606091172
2003-03-31,-0.002604943492022671,0.00027980005828687204,0.005355612572819579,0.007527642547310531
2003-04-30,0.08921017074385751,0.04020961759629205,0.03370871507042139,0.02937488535764987
2003-05-31,0.05783649773236332,0.08390066176539412,0.07012781323056094,0.08156801006141179
2003-06-30,0.01819594308610828,0.008094935155182226,0.005773481346172282,0.00595964262741111
2003-07-31,0.020145291276658206,-0.00380322175109693,-0.013355584321525726,-0.014480682021773439
2003-08-31,0.02122144257287739,0.035856567653884897,0.028595104743649458,0.023118023037999702
2003-09-30,0.006586852666894627,0.015922226064758682,0.0321796653254276,0.013805364208506754
2003-10-31,0.05962641962953108,0.03817786186520533,0.05158037413697225,0.02751258351311381
2003-11-30,0.015514250078506375,0.02125580808461147,0.012662318376564619,0.020613169982938606
2003-12-31,0.06159043562019639,0.10098184788028597,0.09435893519144023,0.10425205872805421
2004-01-31,0.01748764063760344,-0.007097033673521325,0.0003293463843698774,-0.013106576050197272
2004-02-29,0.018100213852688896,0.03921436516001897,0.043587910943180486,0.03756875967983486
2004-03-31,-0.006016016074356534,0.009704973704584674,-0.000675014055717793,0.013641609039067415
2004-04-30,-0.020651427362774144,-0.029101253220565115,-0.0539552239741411,-0.01273560274523744
2004-05-31,0.009979185449651595,0.02517571750347658,0.026626176781904043,0.023684807234872762
2004-06-30,0.020246090141126327,0.02843259714175206,0.03684071594600069,0.023958197271265913
2004-07-31,-0.031420737582569136,0.016542116205431334,0.014898604345810584,0.019613282515619
2004-08-31,0.005027715526160881,0.013705426552855338,0.02524389701263874,0.010153871504122725
2004-09-30,0.01961460355211808,0.04922528061367348,0.059284456733190494,0.04541597434291367
2004-10-31,0.024424789847917294,0.02897290292402266,0.028967264816984084,0.031834014115039055
2004-11-30,0.05318513801131863,0.06602943081390467,0.0695326983222273,0.05994622953682649
