Date,FTSE_AWD,RAISE,RAISE_Mom,RAISE_LowVol
2001-03-16,100.0,100.0,100.0,100.0
2001-03-19,100.95762879668857,100.54654636135672,100.81905643055556,100.38787947815192
2001-03-20,100.08587549357355,101.0053250458101,101.38947405619145,100.75721950206298
2001-03-21,99.02092673112394,100.33528624843233,100.73841146198446,100.58571540638562
2001-03-22,96.86327281576219,97.00808021382338,97.35715334367606,97.5860311018959
2001-03-23,99.17509173799321,97.4450144521572,98.12743474045816,97.4648631435448
2001-03-26,101.29393706162334,99.50294810302871,100.30690423849352,99.45540631220878
2001-03-27,103.29235997611721,100.97337986546816,101.47876086153292,101.1553555985374
2001-03-28,101.31160438531388,100.08621047996516,101.27528054907764,100.14724495433562
2001-03-29,100.26291823847502,99.54109263449192,101.04742586783826,99.83707840652836
2001-03-30,100.8192842481117,100.5967435652507,102.14653758746648,100.85941811768886
2001-04-02,99.82930505261469,100.01168829604342,101.7112359773651,100.44218745138647
2001-04-03,97.39440175255136,99.2105675255353,101.28838947104089,99.796768556843
2001-04-04,97.9429341488886,100.07952168315856,101.5456344371915,100.82395584622448
2001-04-05,100.97866463563946,101.146033390689,102.19796162153052,101.8025277480958
2001-04-06,99.98808580625229,101.14216104912572,101.70479367016452,102.22851335298056
2001-04-09,100.37870310060622,102.46860061647752,102.98445951493744,103.682128176407
2001-04-10,102.10254914150788,103.91941301377824,104.53203328343372,104.76399805619828
2001-04-11,102.29319908699195,103.1720972497322,103.7730144665019,103.5628705409167
2001-04-12,103.64182475444053,103.74746542993203,104.29323262327404,104.10022961819784
2001-04-13,103.61367936632146,103.67020997050484,104.21949434964476,103.96714087030324
2001-04-16,102.98534928269729,104.1263595939642,104.7763643543974,104.43099528305424
2001-04-17,103.3444301517879,104.77127874512657,106.1065416042352,105.18681846670972
2001-04-18,106.5825015617098,104.54807673873631,105.86134855397094,104.534639706354
2001-04-19,108.23295816205254,104.57668652468458,105.40221594363295,104.3767873540187
2001-04-20,107.7662240640135,105.20956187398497,105.61437160569416,105.3379063925042
2001-04-23,106.46096901525992,106.21523559668076,106.67836769025963,106.4128996768996
2001-04-24,105.66113790960732,106.44447520466971,107.05424103062155,106.67113339035376
2001-04-25,106.77027374454143,107.07805317784604,107.55706507011094,107.46788180662092
2001-04-26,107.51986346186496,108.28741922700536,108.54607474211686,108.73194246844332
2001-04-27,108.51513084311065,108.2613411258276,108.4233984550489,108.4905091870858
2001-04-30,108.52895617209876,107.84182429921134,108.25616366315305,107.94158567920222
2001-05-01,109.99573403995062,108.0999913678395,108.40937814554306,108.15154069561146
